,path,label,bytes
45,./dataset/obj4__150.png,obj4,[49 46 26 ... 26 26 26]
46,./dataset/obj42__190.png,obj42,[49 46 28 ... 28 28 28]
47,./dataset/obj50__215.png,obj50,[49 46 27 ... 27 27 27]
48,./dataset/obj77__145.png,obj77,[49 46 26 ... 26 26 26]
49,./dataset/obj82__245.png,obj82,[49 46 25 ... 24 26 27]
50,./dataset/obj98__95.png,obj98,[49 46 27 ... 27 27 27]
51,./dataset/obj6__315.png,obj6,[49 46 25 ... 25 25 25]
52,./dataset/obj75__300.png,obj75,[49 46 25 ... 27 25 25]
53,./dataset/obj26__200.png,obj26,[49 46 26 ... 26 26 26]
54,./dataset/obj98__225.png,obj98,[49 46 27 ... 27 27 27]
55,./dataset/obj93__30.png,obj93,[49 46 25 ... 25 25 25]
56,./dataset/obj34__185.png,obj34,[49 46 25 ... 25 25 25]
57,./dataset/obj77__25.png,obj77,[49 46 26 ... 26 26 26]
58,./dataset/obj83__30.png,obj83,[49 46 27 ... 27 27 27]
59,./dataset/obj74__300.png,obj74,[49 46 25 ... 25 25 25]
60,./dataset/obj27__200.png,obj27,[49 46 28 ... 28 28 28]
61,./dataset/obj99__225.png,obj99,[49 46 33 ... 33 33 33]
62,./dataset/obj35__185.png,obj35,[49 46 25 ... 25 25 25]
63,./dataset/obj88__95.png,obj88,[49 46 25 ... 25 25 25]
64,./dataset/obj7__315.png,obj7,[49 46 25 ... 25 25 25]
65,./dataset/obj67__25.png,obj67,[49 46 27 ... 27 27 27]
66,./dataset/obj11__245.png,obj11,[49 46 27 ... 27 27 27]
67,./dataset/obj88__130.png,obj88,[49 46 25 ... 25 25 25]
68,./dataset/obj42__345.png,obj42,[49 46 28 ... 28 28 28]
69,./dataset/obj36__115.png,obj36,[49 46 30 ... 30 30 30]
70,./dataset/obj90__315.png,obj90,[49 46 25 ... 25 25 25]
71,./dataset/obj24__290.png,obj24,[49 46 25 ... 25 25 25]
72,./dataset/obj16__45.png,obj16,[49 46 25 ... 25 25 25]
73,./dataset/obj23__0.png,obj23,[49 46 25 ... 25 25 25]
74,./dataset/obj91__315.png,obj91,[49 46 25 ... 25 25 25]
75,./dataset/obj10__245.png,obj10,[49 46 26 ... 26 26 26]
76,./dataset/obj89__130.png,obj89,[49 46 25 ... 25 25 25]
77,./dataset/obj37__115.png,obj37,[49 46 26 ... 26 26 26]
78,./dataset/obj43__345.png,obj43,[49 46 27 ... 27 27 27]
79,./dataset/obj25__290.png,obj25,[49 46 27 ... 27 27 27]
80,./dataset/obj30__90.png,obj30,[49 46 25 ... 25 25 25]
81,./dataset/obj85__75.png,obj85,[49 46 25 ... 25 25 25]
82,./dataset/obj3__135.png,obj3,[49 46 25 ... 25 25 25]
83,./dataset/obj85__220.png,obj85,[49 46 25 ... 25 25 25]
84,./dataset/obj68__305.png,obj68,[49 46 29 ... 29 29 29]
85,./dataset/obj57__270.png,obj57,[49 46 27 ... 27 27 27]
86,./dataset/obj70__120.png,obj70,[49 46 25 ... 25 25 25]
87,./dataset/obj61__60.png,obj61,[49 46 25 ... 25 25 25]
88,./dataset/obj50__5.png,obj50,[49 46 27 ... 27 27 27]
89,./dataset/obj29__180.png,obj29,[49 46 25 ... 25 25 25]
90,./dataset/obj95__75.png,obj95,[49 46 28 ... 28 28 28]
91,./dataset/obj20__90.png,obj20,[49 46 25 ... 25 25 25]
92,./dataset/obj56__270.png,obj56,[49 46 28 ... 28 28 28]
93,./dataset/obj71__120.png,obj71,[49 46 26 ... 26 26 26]
94,./dataset/obj84__220.png,obj84,[49 46 25 ... 25 25 25]
95,./dataset/obj69__305.png,obj69,[49 46 25 ... 25 25 25]
96,./dataset/obj28__180.png,obj28,[49 46 26 ... 26 26 26]
97,./dataset/obj71__60.png,obj71,[49 46 26 ... 26 26 26]
98,./dataset/obj2__135.png,obj2,[49 46 26 ... 26 26 26]
99,./dataset/obj95__135.png,obj95,[49 46 28 ... 28 28 28]
100,./dataset/obj33__335.png,obj33,[49 46 25 ... 25 25 25]
101,./dataset/obj47__165.png,obj47,[49 46 25 ... 25 25 25]
102,./dataset/obj60__235.png,obj60,[49 46 27 ... 27 27 27]
103,./dataset/obj39__295.png,obj39,[49 46 25 ... 25 25 25]
104,./dataset/obj46__165.png,obj46,[49 46 25 ... 25 25 25]
105,./dataset/obj32__335.png,obj32,[49 46 25 ... 25 25 25]
106,./dataset/obj61__235.png,obj61,[49 46 25 ... 25 25 25]
107,./dataset/obj94__135.png,obj94,[49 46 25 ... 25 25 25]
108,./dataset/obj38__295.png,obj38,[49 46 25 ... 25 25 25]
109,./dataset/obj7__275.png,obj7,[49 46 25 ... 25 25 25]
110,./dataset/obj28__55.png,obj28,[49 46 44 ... 44 44 44]
111,./dataset/obj96__15.png,obj96,[49 46 27 ... 27 27 27]
112,./dataset/obj74__260.png,obj74,[49 46 25 ... 25 25 25]
113,./dataset/obj53__130.png,obj53,[49 46 26 ... 26 26 26]
114,./dataset/obj99__345.png,obj99,[49 46 35 ... 35 35 35]
115,./dataset/obj18__215.png,obj18,[49 46 26 ... 26 26 26]
116,./dataset/obj81__160.png,obj81,[49 46 27 ... 27 27 27]
117,./dataset/obj19__215.png,obj19,[49 46 25 ... 25 25 25]
118,./dataset/obj80__160.png,obj80,[49 46 29 ... 29 29 29]
119,./dataset/obj75__260.png,obj75,[49 46 28 ... 28 28 28]
120,./dataset/obj52__130.png,obj52,[49 46 25 ... 25 25 25]
121,./dataset/obj98__345.png,obj98,[49 46 26 ... 26 26 26]
122,./dataset/obj38__55.png,obj38,[49 46 25 ... 25 25 25]
123,./dataset/obj6__275.png,obj6,[49 46 25 ... 25 25 25]
124,./dataset/obj86__15.png,obj86,[49 46 25 ... 25 25 25]
125,./dataset/obj59__35.png,obj59,[49 46 27 ... 25 25 25]
126,./dataset/obj52__90.png,obj52,[49 46 25 ... 25 25 25]
127,./dataset/obj64__175.png,obj64,[49 46 25 ... 25 25 25]
128,./dataset/obj10__325.png,obj10,[49 46 27 ... 27 27 27]
129,./dataset/obj43__225.png,obj43,[49 46 30 ... 30 30 30]
130,./dataset/obj91__275.png,obj91,[49 46 25 ... 15 17 17]
131,./dataset/obj42__90.png,obj42,[49 46 26 ... 26 26 26]
132,./dataset/obj49__35.png,obj49,[49 46 25 ... 25 25 25]
133,./dataset/obj21__5.png,obj21,[49 46 28 ... 28 28 28]
134,./dataset/obj90__275.png,obj90,[49 46 25 ... 25 25 25]
135,./dataset/obj11__325.png,obj11,[49 46 26 ... 26 26 26]
136,./dataset/obj13__60.png,obj13,[49 46 27 ... 27 27 27]
137,./dataset/obj65__175.png,obj65,[49 46 26 ... 26 26 26]
138,./dataset/obj42__225.png,obj42,[49 46 27 ... 27 27 27]
139,./dataset/obj64__45.png,obj64,[49 46 26 ... 26 26 26]
140,./dataset/obj17__195.png,obj17,[49 46 25 ... 25 25 25]
141,./dataset/obj52__0.png,obj52,[49 46 25 ... 25 25 25]
142,./dataset/obj84__340.png,obj84,[49 46 25 ... 25 25 25]
143,./dataset/obj69__265.png,obj69,[49 46 25 ... 23 25 25]
144,./dataset/obj56__310.png,obj56,[49 46 26 ... 26 26 26]
145,./dataset/obj22__140.png,obj22,[49 46 26 ... 26 26 26]
146,./dataset/obj80__50.png,obj80,[49 46 25 ... 25 25 25]
147,./dataset/obj16__195.png,obj16,[49 46 25 ... 25 25 25]
148,./dataset/obj23__140.png,obj23,[49 46 25 ... 25 25 25]
149,./dataset/obj57__310.png,obj57,[49 46 27 ... 27 27 27]
150,./dataset/obj85__340.png,obj85,[49 46 25 ... 25 25 25]
151,./dataset/obj68__265.png,obj68,[49 46 25 ... 25 25 25]
152,./dataset/obj74__45.png,obj74,[49 46 25 ... 25 25 25]
153,./dataset/obj90__50.png,obj90,[49 46 25 ... 25 25 25]
154,./dataset/obj79__170.png,obj79,[49 46 26 ... 26 26 26]
155,./dataset/obj32__255.png,obj32,[49 46 25 ... 25 25 25]
156,./dataset/obj15__105.png,obj15,[49 46 25 ... 25 25 25]
157,./dataset/obj61__355.png,obj61,[49 46 25 ... 25 25 25]
158,./dataset/obj8__45.png,obj8,[49 46 31 ... 31 31 31]
159,./dataset/obj15__25.png,obj15,[49 46 26 ... 26 26 26]
160,./dataset/obj33__255.png,obj33,[49 46 25 ... 25 25 25]
161,./dataset/obj60__355.png,obj60,[49 46 25 ... 25 25 25]
162,./dataset/obj14__105.png,obj14,[49 46 25 ... 25 25 25]
163,./dataset/obj78__170.png,obj78,[49 46 26 ... 26 26 26]
164,./dataset/obj3__280.png,obj3,[49 46 25 ... 25 25 25]
165,./dataset/obj9__320.png,obj9,[49 46 26 ... 26 26 26]
166,./dataset/obj16__340.png,obj16,[49 46 25 ... 25 25 25]
167,./dataset/obj62__110.png,obj62,[49 46 25 ... 25 25 25]
168,./dataset/obj45__240.png,obj45,[49 46 26 ... 26 26 26]
169,./dataset/obj97__210.png,obj97,[49 46 28 ... 28 28 28]
170,./dataset/obj29__235.png,obj29,[49 46 25 ... 25 25 25]
171,./dataset/obj85__195.png,obj85,[49 46 26 ... 26 26 26]
172,./dataset/obj70__295.png,obj70,[49 46 27 ... 27 27 27]
173,./dataset/obj87__10.png,obj87,[49 46 25 ... 25 25 25]
174,./dataset/obj39__50.png,obj39,[49 46 26 ... 26 26 26]
175,./dataset/obj96__210.png,obj96,[49 46 27 ... 27 27 27]
176,./dataset/obj28__235.png,obj28,[49 46 30 ... 30 30 30]
177,./dataset/obj63__110.png,obj63,[49 46 28 ... 28 28 28]
178,./dataset/obj17__340.png,obj17,[49 46 25 ... 25 25 25]
179,./dataset/obj44__240.png,obj44,[49 46 26 ... 26 26 26]
180,./dataset/obj71__295.png,obj71,[49 46 26 ... 26 26 26]
181,./dataset/obj84__195.png,obj84,[49 46 25 ... 25 25 25]
182,./dataset/obj2__280.png,obj2,[49 46 26 ... 26 26 26]
183,./dataset/obj8__320.png,obj8,[49 46 25 ... 25 25 25]
184,./dataset/obj97__10.png,obj97,[49 46 25 ... 25 25 25]
185,./dataset/obj29__50.png,obj29,[49 46 26 ... 26 26 26]
186,./dataset/obj72__205.png,obj72,[49 46 25 ... 25 25 25]
187,./dataset/obj55__155.png,obj55,[49 46 27 ... 27 27 27]
188,./dataset/obj21__305.png,obj21,[49 46 27 ... 27 27 27]
189,./dataset/obj39__120.png,obj39,[49 46 25 ... 25 25 25]
190,./dataset/obj87__105.png,obj87,[49 46 25 ... 25 25 25]
191,./dataset/obj95__280.png,obj95,[49 46 27 ... 27 27 27]
192,./dataset/obj60__180.png,obj60,[49 46 25 ... 25 25 25]
193,./dataset/obj43__95.png,obj43,[49 46 27 ... 27 27 27]
194,./dataset/obj1__210.png,obj1,[49 46 25 ... 25 25 25]
195,./dataset/obj100__160.png,obj100,[49 46 25 ... 25 25 25]
196,./dataset/obj48__30.png,obj48,[49 46 26 ... 26 26 26]
197,./dataset/obj12__65.png,obj12,[49 46 27 ... 27 27 27]
198,./dataset/obj31__0.png,obj31,[49 46 25 ... 25 25 25]
199,./dataset/obj58__30.png,obj58,[49 46 25 ... 25 25 25]
200,./dataset/obj38__120.png,obj38,[49 46 25 ... 25 25 25]
201,./dataset/obj86__105.png,obj86,[49 46 25 ... 25 25 25]
202,./dataset/obj73__205.png,obj73,[49 46 25 ... 25 25 25]
203,./dataset/obj20__305.png,obj20,[49 46 25 ... 25 25 25]
204,./dataset/obj54__155.png,obj54,[49 46 25 ... 25 25 25]
205,./dataset/obj53__95.png,obj53,[49 46 26 ... 26 26 26]
206,./dataset/obj61__180.png,obj61,[49 46 25 ... 25 25 25]
207,./dataset/obj94__280.png,obj94,[49 46 25 ... 25 25 25]
208,./dataset/obj75__40.png,obj75,[49 46 30 ... 30 30 30]
209,./dataset/obj58__245.png,obj58,[49 46 25 ... 25 25 25]
210,./dataset/obj34__230.png,obj34,[49 46 25 ... 25 25 25]
211,./dataset/obj67__330.png,obj67,[49 46 26 ... 26 26 26]
212,./dataset/obj13__160.png,obj13,[49 46 28 ... 28 28 28]
213,./dataset/obj98__190.png,obj98,[49 46 26 ... 26 26 26]
214,./dataset/obj91__55.png,obj91,[49 46 25 ... 25 25 25]
215,./dataset/obj65__40.png,obj65,[49 46 26 ... 26 26 26]
216,./dataset/obj42__5.png,obj42,[49 46 29 ... 29 29 29]
217,./dataset/obj35__230.png,obj35,[49 46 25 ... 25 25 25]
218,./dataset/obj12__160.png,obj12,[49 46 28 ... 27 27 27]
219,./dataset/obj66__330.png,obj66,[49 46 25 ... 25 25 25]
220,./dataset/obj59__245.png,obj59,[49 46 25 ... 25 25 25]
221,./dataset/obj81__55.png,obj81,[49 46 26 ... 26 26 26]
222,./dataset/obj99__190.png,obj99,[49 46 33 ... 33 33 33]
223,./dataset/obj82__325.png,obj82,[49 46 28 ... 28 28 28]
224,./dataset/obj48__150.png,obj48,[49 46 25 ... 25 25 25]
225,./dataset/obj24__125.png,obj24,[49 46 25 ... 25 25 25]
226,./dataset/obj88__285.png,obj88,[49 46 25 ... 25 25 25]
227,./dataset/obj100__55.png,obj100,[49 46 25 ... 25 25 25]
228,./dataset/obj9__40.png,obj9,[49 46 25 ... 25 25 25]
229,./dataset/obj14__20.png,obj14,[49 46 25 ... 25 25 25]
230,./dataset/obj25__125.png,obj25,[49 46 27 ... 27 27 27]
231,./dataset/obj83__325.png,obj83,[49 46 26 ... 26 26 26]
232,./dataset/obj49__150.png,obj49,[49 46 25 ... 25 25 25]
233,./dataset/obj89__285.png,obj89,[49 46 25 ... 25 25 25]
234,./dataset/obj88__290.png,obj88,[49 46 25 ... 25 25 25]
235,./dataset/obj24__130.png,obj24,[49 46 25 ... 25 25 25]
236,./dataset/obj48__145.png,obj48,[49 46 25 ... 25 25 25]
237,./dataset/obj82__330.png,obj82,[49 46 28 ... 28 28 28]
238,./dataset/obj14__35.png,obj14,[49 46 26 ... 26 26 26]
239,./dataset/obj17__5.png,obj17,[49 46 25 ... 25 25 25]
240,./dataset/obj89__290.png,obj89,[49 46 25 ... 25 25 25]
241,./dataset/obj49__145.png,obj49,[49 46 25 ... 25 25 25]
242,./dataset/obj83__330.png,obj83,[49 46 27 ... 27 27 27]
243,./dataset/obj25__130.png,obj25,[49 46 27 ... 27 27 27]
244,./dataset/obj9__55.png,obj9,[49 46 25 ... 25 25 25]
245,./dataset/obj100__40.png,obj100,[49 46 25 ... 25 25 25]
246,./dataset/obj91__40.png,obj91,[49 46 25 ... 25 25 25]
247,./dataset/obj98__185.png,obj98,[49 46 26 ... 26 26 26]
248,./dataset/obj67__325.png,obj67,[49 46 26 ... 26 26 26]
249,./dataset/obj13__175.png,obj13,[49 46 28 ... 28 28 28]
250,./dataset/obj34__225.png,obj34,[49 46 25 ... 25 25 25]
251,./dataset/obj58__250.png,obj58,[49 46 26 ... 26 26 26]
252,./dataset/obj19__0.png,obj19,[49 46 25 ... 25 25 25]
253,./dataset/obj75__55.png,obj75,[49 46 32 ... 32 32 32]
254,./dataset/obj99__185.png,obj99,[49 46 32 ... 32 32 32]
255,./dataset/obj81__40.png,obj81,[49 46 26 ... 27 25 26]
256,./dataset/obj59__250.png,obj59,[49 46 25 ... 25 25 25]
257,./dataset/obj12__175.png,obj12,[49 46 28 ... 29 28 28]
258,./dataset/obj66__325.png,obj66,[49 46 25 ... 25 25 25]
259,./dataset/obj35__225.png,obj35,[49 46 25 ... 25 25 25]
260,./dataset/obj65__55.png,obj65,[49 46 26 ... 26 26 26]
261,./dataset/obj12__70.png,obj12,[49 46 27 ... 27 27 27]
262,./dataset/obj60__195.png,obj60,[49 46 27 ... 27 27 27]
263,./dataset/obj43__80.png,obj43,[49 46 25 ... 25 25 25]
264,./dataset/obj95__295.png,obj95,[49 46 27 ... 27 27 27]
265,./dataset/obj87__110.png,obj87,[49 46 25 ... 25 25 25]
266,./dataset/obj39__135.png,obj39,[49 46 25 ... 25 25 25]
267,./dataset/obj55__140.png,obj55,[49 46 26 ... 26 26 26]
268,./dataset/obj21__310.png,obj21,[49 46 27 ... 27 27 27]
269,./dataset/obj72__210.png,obj72,[49 46 25 ... 25 25 25]
270,./dataset/obj48__25.png,obj48,[49 46 25 ... 25 25 25]
271,./dataset/obj100__175.png,obj100,[49 46 25 ... 25 25 25]
272,./dataset/obj1__205.png,obj1,[49 46 25 ... 25 25 25]
273,./dataset/obj58__25.png,obj58,[49 46 25 ... 25 25 25]
274,./dataset/obj94__295.png,obj94,[49 46 25 ... 25 25 25]
275,./dataset/obj53__80.png,obj53,[49 46 26 ... 26 26 26]
276,./dataset/obj61__195.png,obj61,[49 46 25 ... 25 25 25]
277,./dataset/obj20__310.png,obj20,[49 46 25 ... 25 25 25]
278,./dataset/obj54__140.png,obj54,[49 46 26 ... 26 26 26]
279,./dataset/obj73__210.png,obj73,[49 46 25 ... 25 25 25]
280,./dataset/obj86__110.png,obj86,[49 46 25 ... 25 25 25]
281,./dataset/obj38__135.png,obj38,[49 46 26 ... 26 26 26]
282,./dataset/obj39__45.png,obj39,[49 46 25 ... 25 25 25]
283,./dataset/obj64__0.png,obj64,[49 46 25 ... 25 25 25]
284,./dataset/obj9__335.png,obj9,[49 46 25 ... 25 25 25]
285,./dataset/obj3__295.png,obj3,[49 46 25 ... 25 25 25]
286,./dataset/obj70__280.png,obj70,[49 46 27 ... 27 27 27]
287,./dataset/obj85__180.png,obj85,[49 46 25 ... 25 25 25]
288,./dataset/obj29__220.png,obj29,[49 46 25 ... 25 25 25]
289,./dataset/obj97__205.png,obj97,[49 46 28 ... 28 28 28]
290,./dataset/obj45__255.png,obj45,[49 46 26 ... 26 26 26]
291,./dataset/obj16__355.png,obj16,[49 46 25 ... 25 25 25]
292,./dataset/obj63__10.png,obj63,[49 46 25 ... 25 25 25]
293,./dataset/obj62__105.png,obj62,[49 46 25 ... 25 25 25]
294,./dataset/obj29__45.png,obj29,[49 46 25 ... 25 25 25]
295,./dataset/obj84__180.png,obj84,[49 46 25 ... 25 25 25]
296,./dataset/obj71__280.png,obj71,[49 46 25 ... 25 25 25]
297,./dataset/obj44__255.png,obj44,[49 46 26 ... 26 26 26]
298,./dataset/obj63__105.png,obj63,[49 46 26 ... 26 26 26]
299,./dataset/obj17__355.png,obj17,[49 46 25 ... 25 25 25]
300,./dataset/obj73__10.png,obj73,[49 46 25 ... 25 25 25]
301,./dataset/obj28__220.png,obj28,[49 46 27 ... 27 27 27]
302,./dataset/obj96__205.png,obj96,[49 46 27 ... 27 27 27]
303,./dataset/obj8__335.png,obj8,[49 46 25 ... 25 25 25]
304,./dataset/obj2__295.png,obj2,[49 46 27 ... 27 27 27]
305,./dataset/obj15__30.png,obj15,[49 46 26 ... 26 26 26]
306,./dataset/obj15__110.png,obj15,[49 46 25 ... 25 25 25]
307,./dataset/obj61__340.png,obj61,[49 46 25 ... 25 25 25]
308,./dataset/obj32__240.png,obj32,[49 46 25 ... 25 25 25]
309,./dataset/obj79__165.png,obj79,[49 46 26 ... 26 26 26]
310,./dataset/obj8__50.png,obj8,[49 46 28 ... 28 28 28]
311,./dataset/obj78__165.png,obj78,[49 46 26 ... 26 26 26]
312,./dataset/obj60__340.png,obj60,[49 46 25 ... 25 25 25]
313,./dataset/obj14__110.png,obj14,[49 46 25 ... 25 25 25]
314,./dataset/obj33__240.png,obj33,[49 46 25 ... 25 25 25]
315,./dataset/obj80__45.png,obj80,[49 46 25 ... 25 25 25]
316,./dataset/obj64__50.png,obj64,[49 46 25 ... 25 25 25]
317,./dataset/obj56__305.png,obj56,[49 46 25 ... 25 25 25]
318,./dataset/obj22__155.png,obj22,[49 46 26 ... 26 26 26]
319,./dataset/obj69__270.png,obj69,[49 46 25 ... 25 25 25]
320,./dataset/obj84__355.png,obj84,[49 46 25 ... 25 25 25]
321,./dataset/obj17__180.png,obj17,[49 46 25 ... 25 25 25]
322,./dataset/obj90__45.png,obj90,[49 46 25 ... 25 25 25]
323,./dataset/obj68__270.png,obj68,[49 46 27 ... 27 27 27]
324,./dataset/obj85__355.png,obj85,[49 46 26 ... 26 26 26]
325,./dataset/obj23__155.png,obj23,[49 46 25 ... 25 25 25]
326,./dataset/obj57__305.png,obj57,[49 46 27 ... 27 27 27]
327,./dataset/obj16__180.png,obj16,[49 46 25 ... 25 25 25]
328,./dataset/obj74__50.png,obj74,[49 46 25 ... 25 25 25]
329,./dataset/obj91__260.png,obj91,[49 46 25 ... 25 25 25]
330,./dataset/obj43__230.png,obj43,[49 46 32 ... 32 32 32]
331,./dataset/obj64__160.png,obj64,[49 46 26 ... 26 26 26]
332,./dataset/obj10__330.png,obj10,[49 46 27 ... 27 27 27]
333,./dataset/obj59__20.png,obj59,[49 46 25 ... 25 25 25]
334,./dataset/obj52__85.png,obj52,[49 46 25 ... 25 25 25]
335,./dataset/obj42__230.png,obj42,[49 46 27 ... 27 27 27]
336,./dataset/obj11__330.png,obj11,[49 46 25 ... 25 25 25]
337,./dataset/obj13__75.png,obj13,[49 46 28 ... 28 28 28]
338,./dataset/obj65__160.png,obj65,[49 46 26 ... 26 26 26]
339,./dataset/obj90__260.png,obj90,[49 46 25 ... 25 25 25]
340,./dataset/obj42__85.png,obj42,[49 46 26 ... 26 26 26]
341,./dataset/obj3__0.png,obj3,[49 46 25 ... 25 25 25]
342,./dataset/obj49__20.png,obj49,[49 46 25 ... 25 25 25]
343,./dataset/obj28__40.png,obj28,[49 46 43 ... 43 43 43]
344,./dataset/obj7__260.png,obj7,[49 46 25 ... 25 25 25]
345,./dataset/obj81__175.png,obj81,[49 46 27 ... 27 27 27]
346,./dataset/obj18__200.png,obj18,[49 46 25 ... 25 25 25]
347,./dataset/obj99__350.png,obj99,[49 46 35 ... 35 35 35]
348,./dataset/obj53__125.png,obj53,[49 46 26 ... 26 26 26]
349,./dataset/obj74__275.png,obj74,[49 46 25 ... 25 25 25]
350,./dataset/obj72__15.png,obj72,[49 46 26 ... 26 26 26]
351,./dataset/obj98__350.png,obj98,[49 46 26 ... 26 26 26]
352,./dataset/obj52__125.png,obj52,[49 46 25 ... 25 25 25]
353,./dataset/obj75__275.png,obj75,[49 46 28 ... 28 28 28]
354,./dataset/obj80__175.png,obj80,[49 46 30 ... 30 30 30]
355,./dataset/obj19__200.png,obj19,[49 46 25 ... 25 25 25]
356,./dataset/obj6__260.png,obj6,[49 46 25 ... 25 25 25]
357,./dataset/obj38__40.png,obj38,[49 46 27 ... 27 27 27]
358,./dataset/obj74__5.png,obj74,[49 46 25 ... 25 25 25]
359,./dataset/obj62__15.png,obj62,[49 46 25 ... 25 25 25]
360,./dataset/obj39__280.png,obj39,[49 46 26 ... 26 26 26]
361,./dataset/obj60__220.png,obj60,[49 46 27 ... 27 27 27]
362,./dataset/obj33__320.png,obj33,[49 46 25 ... 25 25 25]
363,./dataset/obj47__170.png,obj47,[49 46 25 ... 25 25 25]
364,./dataset/obj95__120.png,obj95,[49 46 27 ... 27 27 27]
365,./dataset/obj10__15.png,obj10,[49 46 27 ... 27 27 27]
366,./dataset/obj38__280.png,obj38,[49 46 25 ... 25 25 25]
367,./dataset/obj94__120.png,obj94,[49 46 25 ... 25 25 25]
368,./dataset/obj61__220.png,obj61,[49 46 25 ... 25 25 25]
369,./dataset/obj46__170.png,obj46,[49 46 25 ... 25 25 25]
370,./dataset/obj32__320.png,obj32,[49 46 25 ... 25 25 25]
371,./dataset/obj3__120.png,obj3,[49 46 25 ... 25 25 25]
372,./dataset/obj29__195.png,obj29,[49 46 25 ... 25 25 25]
373,./dataset/obj61__75.png,obj61,[49 46 25 ... 25 25 25]
374,./dataset/obj70__135.png,obj70,[49 46 25 ... 25 25 25]
375,./dataset/obj57__265.png,obj57,[49 46 27 ... 27 27 27]
376,./dataset/obj68__310.png,obj68,[49 46 29 ... 29 29 29]
377,./dataset/obj85__235.png,obj85,[49 46 26 ... 26 26 26]
378,./dataset/obj30__85.png,obj30,[49 46 25 ... 25 25 25]
379,./dataset/obj85__60.png,obj85,[49 46 25 ... 25 25 25]
380,./dataset/obj71__75.png,obj71,[49 46 25 ... 25 25 25]
381,./dataset/obj28__195.png,obj28,[49 46 26 ... 26 26 26]
382,./dataset/obj69__310.png,obj69,[49 46 25 ... 25 25 25]
383,./dataset/obj84__235.png,obj84,[49 46 25 ... 25 25 25]
384,./dataset/obj71__135.png,obj71,[49 46 26 ... 26 26 26]
385,./dataset/obj56__265.png,obj56,[49 46 28 ... 28 28 28]
386,./dataset/obj2__120.png,obj2,[49 46 25 ... 25 25 25]
387,./dataset/obj95__60.png,obj95,[49 46 28 ... 28 28 28]
